date,ticker,price,avg_target,rating,score
2026-07-02,TSLA,425.30,421.16,Hold (implied),4
2026-07-02,MU,1032.28,1486.00,Buy (implied),9
2026-07-02,AMD,540.88,508.31,Hold (implied),4
2026-07-06,TSLA,393.45,423.40,Buy (implied),4
2026-07-06,MU,975.56,1486.00,Buy (implied),9
2026-07-06,AMD,517.82,508.31,Hold (implied),4
2026-07-08,TSLA,402.90,424.01,Hold (implied),3
2026-07-08,MU,938.38,1486.00,Buy (implied),9
2026-07-08,AMD,516.11,512.27,Hold (implied),3
2026-07-09,TSLA,394.06,424.01,Buy (implied),5
2026-07-09,MU,948.80,1486.00,Buy (implied),9
2026-07-09,AMD,517.41,512.27,Hold (implied),4
2026-07-10,TSLA,406.55,424.56,Hold (implied),3
2026-07-10,MU,991.64,1486.00,Buy (implied),9
2026-07-10,AMD,546.72,516.12,Hold (implied),3
2026-07-13,TSLA,407.76,424.56,Hold (implied),4
2026-07-13,MU,979.30,1486.00,Buy (implied),9
2026-07-13,AMD,557.89,516.12,Sell (implied),3
2026-07-14,TSLA,394.76,424.56,Buy (implied),4
2026-07-14,MU,937.00,1486.00,Buy (implied),9
2026-07-14,AMD,534.39,516.12,Hold (implied),4
2026-07-15,TSLA,396.18,425.24,Buy (implied),5
2026-07-15,MU,983.12,1486.00,Buy (implied),9
2026-07-15,AMD,548.13,525.40,Hold (implied),4
2026-07-16,TSLA,394.46,425.24,Buy (implied),4
2026-07-16,MU,904.28,1486.00,Buy (implied),10
2026-07-16,AMD,529.14,525.40,Hold (implied),4
2026-07-20,TSLA,380.84,425.22,Buy (implied),4
2026-07-20,MU,848.95,1491.95,Buy (implied),10
2026-07-20,AMD,495.76,540.19,Buy (implied),4
